Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-12-04,21.61997396019549,21.78721082457764,20.495771578572455,20.570098876953125,6976500,0.0,0
2018-12-06,20.096261636808375,20.170588935009928,19.557388281821492,19.947607040405273,7052100,0.0,0
2018-12-07,20.40286290922048,20.718754384246534,19.994063636212484,20.124135971069336,5081200,0.0,0
2018-12-10,19.82682739875703,20.068391579863764,19.37157244009143,19.761791229248047,4871000,0.0,0
2018-12-11,20.04980455355369,20.17987686170901,19.334403314494875,19.78036880493164,6700000,0.0,0
2018-12-12,20.124136244006802,20.514355025972417,20.031226672662097,20.040517807006836,5014300,0.0,0
2018-12-13,19.90115443668205,20.588682432745433,19.761790965011564,20.4679012298584,5966900,0.0,0
2018-12-14,20.263497590860737,20.514352875564846,19.771079926925808,19.929025650024414,9238400,0.0,0
2018-12-17,19.88257178186367,20.523645865624193,19.771081715533022,20.086973190307617,6505000,0.0,0
2018-12-18,20.077681066571667,20.24491792992806,19.557388208995658,19.715333938598633,5191400,0.0,0
2018-12-19,19.956896837142583,20.644424742470314,19.343696225036705,19.548097610473633,8910800,0.0,0
2018-12-20,19.27866233387653,19.873280749631675,19.22291730042515,19.343698501586914,6532900,0.0,0
2018-12-21,19.222917014914795,19.81753542183831,19.185752478430757,19.390153884887695,10352800,0.0,0
2018-12-24,19.26937334437971,19.73391947642002,19.009226872480106,19.027809143066406,2644100,0.0,0
2018-12-26,19.139297620548284,19.994062423706055,18.665460436744272,19.994062423706055,4106300,0.0,0
2018-12-27,19.557385982837918,19.966186960942906,18.962767667123288,19.95689582824707,6581000,0.0,0
2018-12-28,20.096261176454796,20.55151786112593,19.650297397461376,19.919734954833984,4525200,0.0,0
2018-12-31,20.04051528610614,20.049806419282145,19.520224232967067,19.975479125976562,3802100,0.0,0
2019-01-02,19.68746240675228,20.096261661307892,19.3622798121856,19.557388305664062,7150000,0.0,0
2019-01-03,19.594553535763318,19.836117706805332,19.083553563395398,19.427316665649414,6672900,0.0,0
2019-01-04,19.826826414263373,20.55151892159924,19.761790247983736,20.402862548828125,5040400,0.0,0
2019-01-07,20.38428191969508,21.136846052177276,20.272790083870536,20.951026916503906,4740000,0.0,0
2019-01-08,21.211175694956253,21.619976775331185,21.034647673777993,21.56422996520996,4959100,0.0,0
2019-01-09,21.833665617007522,22.09381205806074,21.52706527709961,21.52706527709961,5217000,0.0,0
