Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-11-21,130.02397065113053,130.4528784189731,129.50433263596912,129.8507537841797,849600,0.0,0.0
2014-11-24,130.51883157950832,130.67553597934068,129.76000269997306,130.0321807861328,703600,0.0,0.0
2014-11-25,129.90019029224976,130.3290852663425,129.47952635615974,129.60325622558594,1159800,0.0,0.0
2014-11-26,130.20537278419826,132.61383248676188,130.20537278419826,132.30865478515625,862900,0.0,0.0
2014-11-28,132.71284632286833,134.0737998328853,132.21796443478974,132.6221160888672,455600,0.0,0.0
2014-12-01,132.6468312600613,134.91507382536452,132.23442352091524,133.38916015625,702200,0.0,0.0
2014-12-02,133.15828302496868,134.00784240860884,132.6056578734731,133.7521514892578,546400,0.0,0.0
2014-12-03,133.7603197345358,133.80156302408594,132.3828794462187,133.273681640625,530900,0.0,0.0
2014-12-04,133.55414060289118,133.80158780032724,132.91078544096976,133.63662719726562,600300,0.0,0.0
2014-12-05,132.96026709851063,133.01801022942377,131.3931225529483,132.48187255859375,889300,0.0,0.0
2014-12-08,132.79530260798492,134.8325980088878,132.79530260798492,134.39544677734375,694800,0.0,0.0
2014-12-09,133.5459062755989,135.64093251028686,133.3726894496276,134.60166931152344,456500,0.0,0.0
2014-12-10,134.33772591907473,136.22656087629755,134.33772591907473,135.7976531982422,640300,0.0,0.0
2014-12-11,136.0945764481038,136.33376743870403,134.9975701700881,135.52545166015625,686000,0.0,0.0
2014-12-12,135.1625294239811,136.9193906934312,134.31297035605155,134.41195678710938,751000,0.0,0.0
2014-12-15,134.5934139747125,135.61618992864916,132.92729539556967,133.6036376953125,749400,0.0,0.0
2014-12-16,133.75211141603464,134.33772349089568,131.67357241376996,132.8695526123047,1089500,0.0,0.0
2014-12-17,133.7026263906957,136.8204286455758,133.57065286169725,136.01210021972656,918100,0.0,0.0
2014-12-18,136.71323111505242,137.4308168980088,136.0863755816634,136.82870483398438,942900,0.0,0.0
2014-12-19,137.41426249242164,137.4719930308309,136.06980924737462,136.58944702148438,1650100,0.0,0.0
2014-12-22,137.15862077084765,139.65782434989327,137.15037714327985,139.558837890625,750300,0.0,0.0
2014-12-23,139.91346597015686,140.3341173703997,138.04113114503858,138.75047302246094,1012500,0.0,0.0
2014-12-24,138.49481633277387,139.05568500459802,137.30707963280554,137.70298767089844,292500,0.0,0.0
2014-12-26,137.99168876458057,138.3958404602541,137.5462811752094,138.10716247558594,394900,0.0,0.0
2014-12-29,138.07390609187016,139.17025146279022,137.4260627650794,139.07058715820312,605600,1.16,0.0
2014-12-30,138.6636213523225,139.46097391237458,137.7583033395313,138.00747680664062,548700,0.0,0.0
2014-12-31,138.50581860574425,139.21180802206365,135.54899207462282,135.70680236816406,552200,0.0,0.0
2015-01-02,136.26328441232127,138.26496074617262,136.05564195462276,137.71678161621094,565800,0.0,0.0
2015-01-05,137.5921887094719,138.68853419629232,137.15198775302653,138.64700317382812,1130700,0.0,0.0
2015-01-06,139.1785743804701,141.05565738948695,138.66361253492602,140.5323944091797,983500,0.0,0.0
2015-01-07,141.51248069350498,142.45101591049516,140.36629036166255,142.1603240966797,815700,0.0,0.0
2015-01-08,142.1603085142028,143.7882179788997,141.53738125839288,143.4809112548828,785400,0.0,0.0
2015-01-09,143.79650118771164,144.88454520190623,142.31808849573176,143.92108154296875,603300,0.0,0.0
2015-01-12,145.34140214898645,145.88956854094872,144.48591633782337,145.16697692871094,736800,0.0,0.0
2015-01-13,145.50753500413285,146.21351177717162,144.2699813570551,145.0175018310547,626900,0.0,0.0
2015-01-14,144.93443211853764,146.91119232558506,144.16200827705478,146.8862762451172,677100,0.0,0.0
2015-01-15,147.06066425951641,147.7500386088588,146.5872461361653,147.42611694335938,603900,0.0,0.0
2015-01-16,147.72513771888072,149.06235553668964,146.5872612055207,148.73843383789062,634000,0.0,0.0
2015-01-20,149.676978463718,150.0590334470716,145.54073203244613,145.82313537597656,938600,0.0,0.0
2015-01-21,145.9809197403609,147.19355702744926,144.88457437290634,146.96099853515625,614700,0.0,0.0
2015-01-22,147.17698281947395,149.13712827808314,146.63711745726638,148.6387939453125,670200,0.0,0.0
2015-01-23,148.99594257751932,149.3613953826745,148.1238415967611,148.58895874023438,559800,0.0,0.0
2015-01-26,148.37300418615152,149.7766693236913,147.92450202326737,149.72683715820312,530000,0.0,0.0
2015-01-27,149.5357659128919,150.5989068077054,148.6138330222985,149.05404663085938,626000,0.0,0.0
2015-01-28,149.4194980002808,150.24176664299802,147.13543111066653,147.46766662597656,1655000,0.0,0.0
2015-01-29,146.88623766726403,148.49753203278732,144.80149987672675,145.26661682128906,1107200,0.0,0.0
2015-01-30,144.5190614896808,146.08883699547425,143.43101770967078,143.68019104003906,1172800,0.0,0.0
2015-02-02,143.58058401903045,143.60550009685173,140.91446230424833,143.39785766601562,1034900,0.0,0.0
2015-02-03,143.68856035322236,144.36131979301405,141.72841532354525,144.2533416748047,786100,0.0,0.0
2015-02-04,144.1869034964211,144.8264330338879,142.79984095911405,143.970947265625,687700,0.0,0.0
2015-02-05,144.35300464476992,145.72343946882523,143.82974172084593,145.3496856689453,767200,0.0,0.0
2015-02-06,144.9759147921517,145.34966854800666,139.87621835689248,140.4991455078125,1088200,0.0,0.0
2015-02-09,140.5656578114628,141.51250701324372,139.66864077711912,139.9011993408203,1074700,0.0,0.0
2015-02-10,140.5158004573874,141.46266224834002,139.04570095493904,141.26332092285156,1911100,0.0,0.0
2015-02-11,141.63704986707342,143.02409974466684,140.49917343407193,141.5623016357422,887400,0.0,0.0
