,Position,Games,P/G,Total Points
Steven Sims,,16.0,6.46875,103.5
Paul Richardson,WR,10.0,6.45,64.5
Allen Lazard,,16.0,6.425000000000002,102.8
Chase Edmonds,,13.0,6.369230769230769,82.8
Demarcus Robinson,WR,16.0,6.30625,100.9
Russell Gage,,16.0,6.300000000000002,100.8
Jimmy Graham,RB,16.0,6.29375,100.7
Taysom Hill,WR,16.0,6.25,100.0
Alex Erickson,WR,16.0,6.2,99.2
O.J. Howard,WR,14.0,6.135714285714287,85.9
Allen Hurns,,14.0,6.114285714285713,85.6
Keke Coutee,,9.0,6.0888888888888895,54.8
Isaiah Ford,,8.0,6.0625,48.5
Kendrick Bourne,,16.0,5.987500000000002,95.8
Vance McDonald,TE,14.0,5.9642857142857135,83.5
Tony Pollard,,15.0,5.946666666666667,89.2
Willie Snead,WR,16.0,5.94375,95.1
Frank Gore,RB,16.0,5.93125,94.9
Gus Edwards,,16.0,5.9125000000000005,94.6
Darrel Williams,,12.0,5.816666666666666,69.8
Cameron Brate,,16.0,5.69375,91.1
Jordan Akins,,16.0,5.612500000000002,89.80000000000003
Brian Hill,,12.0,5.6000000000000005,67.2
Bennie Fowler,,8.0,5.5375,44.3
Tajae Sharpe,RB,15.0,5.46,81.9
Alexander Mattison,,13.0,5.415384615384616,70.4
Ted Ginn Jr.,WR,16.0,5.36875,85.9
Blake Jarwin,WR,16.0,5.34375,85.5
Dawson Knox,TE,15.0,5.3133333333333335,79.7
Foster Moreau,WR,13.0,5.261538461538462,68.4
Marquez Valdes-Scantling,WR,16.0,5.25625,84.1
J.D. McKissic,,16.0,5.2375,83.8
Jalen Richard,,16.0,5.175000000000002,82.80000000000003
Wayne Gallman,,10.0,5.0200000000000005,50.2
Irv Smith Jr.,WR,16.0,4.94375,79.1
Olabisi Johnson,,16.0,4.9375,79.0
Keelan Cole,,16.0,4.91875,78.7
Dare Ogunbowale,,16.0,4.83125,77.3
Hayden Hurst,RB,16.0,4.80625,76.9
Tim Patrick,,8.0,4.725,37.8
Geronimo Allison,WR,16.0,4.7125,75.4
Nick Boyle,WR,16.0,4.69375,75.1
Jeff Wilson,,10.0,4.69,46.9
Benny Snell Jr.,,13.0,4.607692307692306,59.9
KeeSean Johnson,,10.0,4.6,46.0
Jonathan Williams,,9.0,4.488888888888889,40.4
Marvin Hall,,9.0,4.422222222222222,39.8
Patrick Laird,,15.0,4.413333333333333,66.2
Cody Latimer,TE,15.0,4.4,66.0
David Moore,,14.0,4.4,61.6
Giovani Bernard,,16.0,4.4,70.4
Ricky Seals-Jones,WR,14.0,4.3500000000000005,60.90000000000001
Trey Quinn,,12.0,4.316666666666666,51.8
Kalen Ballage,RB,12.0,4.316666666666666,51.8
Pharoh Cooper,,13.0,4.269230769230768,55.5
Dion Lewis,,16.0,4.268750000000002,68.30000000000001
