,Position,Games,Rushing Yards,Rushing TD,Receptions,Receiving Yards,Receiving TD,P/G,Total Points
Mack Hollins,,16.0,0.0,0.0,10.0,12.5,0.0,1.40625,22.5
MyCole Pruitt,WR,16,0,0,6,9.0,6,1.3125,21.0
Daniel Brown,,16.0,0.0,0.0,7.0,7.2,6.0,1.2625,20.2
Ryan Switzer,RB,9,0,0,8,2.7,0,1.1888888888888889,10.7
Patrick Ricard,,16.0,0.0,0.0,8.0,4.7,6.0,1.16875,18.7
Javorius Allen,,10.0,3.6,6.0,1.0,0.9,0.0,1.15,11.5
Danny Vitale,,15.0,0.30000000000000004,0.0,7.0,9.700000000000001,0.0,1.1333333333333333,17.0
Alec Ingold,,16.0,1.7000000000000002,0.0,6.0,4.4,6.0,1.13125,18.1
Braxton Berrios,RB,16,0,0,6,11.5,0,1.09375,17.5
Mo Alie-Cox,,16.0,0.0,0.0,8.0,9.3,0.0,1.08125,17.3
J.P. Holtz,,15.0,0.0,0.0,7.0,9.1,0.0,1.0733333333333335,16.1
Mike Davis,,12.0,2.7,0.0,7.0,2.2,0.0,0.9916666666666667,11.9
Blake Bell,,15.0,0.0,0.0,8.0,6.7,0.0,0.98,14.7
Zach Line,,12.0,2.0,0.0,6.0,3.6,0.0,0.9666666666666667,11.6
D'Ernest Johnson,,16.0,2.1,0.0,6.0,7.1000000000000005,0.0,0.9500000000000001,15.200000000000001
Robert Foster,,13.0,2.9000000000000004,0.0,3.0,6.4,0.0,0.9461538461538462,12.3
Tyler Conklin,WR,15,0,0,8,5.800000000000001,0,0.92,13.8
DeAndrew White,,10.0,0.0,0.0,4.0,5.1000000000000005,0.0,0.9100000000000001,9.100000000000001
Andre Patton,,13.0,0.0,0.0,6.0,5.6000000000000005,0.0,0.8923076923076925,11.600000000000001
Deon Yelder,,9.0,0.0,0.0,3.0,5.0,0.0,0.8888888888888888,8.0
Drew Sample,,9.0,0.0,0.0,5.0,3.0,0.0,0.8888888888888888,8.0
Luke Stocker,,15.0,0.0,0.0,8.0,5.300000000000001,0.0,0.8866666666666667,13.3
Durham Smythe,,16.0,0.0,0.0,7.0,6.5,0.0,0.84375,13.5
Derek Watt,,16.0,1.0,6.0,3.0,3.2,0.0,0.825,13.2
Deonte Harris,,14.0,3.1,0.0,6.0,2.4000000000000004,0.0,0.8214285714285714,11.5
Lee Smith,,16.0,0.0,0.0,4.0,3.1,6.0,0.81875,13.1
Troymaine Pope,,14.0,2.0,0.0,2.0,1.4000000000000001,6.0,0.8142857142857143,11.4
Ty Sambrailo,,13.0,0.0,0.0,1.0,3.5,6.0,0.8076923076923077,10.5
Devine Ozigbo,,10.0,2.7,0.0,3.0,2.3000000000000003,0.0,0.8,8.0
Devontae Booker,,16.0,0.9,0.0,6.0,5.7,0.0,0.7875000000000001,12.600000000000001
Kenjon Barner,,14.0,2.8000000000000003,0.0,6.0,2.2,0.0,0.7857142857142857,11.0
Trent Sherfield,,16.0,0.0,0.0,4.0,8.0,0.0,0.75,12.0
Nick Bellore,,14.0,0.0,0.0,2.0,2.3000000000000003,6.0,0.7357142857142858,10.3
KhaDarel Hodge,WR,16,0,0,4,7.6000000000000005,0,0.7250000000000001,11.600000000000001
Donte Moncrief,RB,8,0,0,4,1.8,0,0.725,5.8
Ventell Bryant,TE,12,0,0,1,1.5,6,0.7083333333333334,8.5
Elandon Roberts,WR,16,0,0,1,3.8000000000000003,6,0.675,10.8
Gunner Olszewski,,8.0,0.0,0.0,2.0,3.4000000000000004,0.0,0.675,5.4
Lance Kendricks,RB,12,0,0,3,5.0,0,0.6666666666666666,8.0
Jason Moore,WR,10,0,0,2,4.3,0,0.63,6.3
Cethan Carter,RB,15,0,0,2,1.3,6,0.62,9.3
Patrick DiMarco,FB,16,0.7000000000000001,0,5,4.1000000000000005,0,0.6125,9.8
Alex Armah,,16.0,1.1,6.0,2.0,0.6000000000000001,0.0,0.60625,9.7
Diontae Spencer,,16.0,0.6000000000000001,0.0,6.0,3.1,0.0,0.60625,9.7
Nick Bawden,,10.0,0.0,0.0,4.0,1.7000000000000002,0.0,0.5700000000000001,5.7
Taiwan Jones,,11.0,4.0,0.0,1.0,0.9,0.0,0.5363636363636364,5.9
Pharaoh Brown,WR,9,0,0,2,2.7,0,0.5222222222222223,4.7
Tanner Hudson,RB,9,0,0,2,2.6,0,0.5111111111111111,4.6
Johnny Mundt,,13.0,0.0,0.0,4.0,2.6,0.0,0.5076923076923077,6.6
