Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
HPQ,"Hp Inc",23.78,0.54,+2.32%,23.88,23.25,8720681,12/04/20
HRL,"Hormel Foods Corp",47.38,0.14,+0.30%,47.48,46.94,2105255,12/04/20
HSIC,"Henry Schein Inc",68.42,1.95,+2.93%,68.44,66.56,822700,12/04/20
HST,"Host Marriott Financial Trust",15.65,0.54,+3.57%,15.74,15.17,8237101,12/04/20
HSY,"Hershey Foods Corp",150.87,1.04,+0.69%,151.1,149.88,1002547,12/04/20
HUM,"Humana Inc",412.78,8.95,+2.22%,413.04,403,522782,12/04/20
HWM,"Howmet Aerospace Inc",25.37,0.32,+1.28%,25.65,25.19,5239344,12/04/20
IBM,"International Business Machines",127.2,3.59,+2.90%,127.38,123.64,5522760,12/04/20
ICE,"Intercontinental Exchange",109.23,1.77,+1.65%,109.85,108.03,2376347,12/04/20
IDXX,"Idexx Laboratories",457.15,-2.92,-0.63%,463.26,455.87,387500,12/04/20
IEX,"Idex Corp",192.78,2.52,+1.32%,193.21,191.29,285715,12/04/20
IFF,"International Flavors & Fragrances",116,3.36,+2.98%,116.24,113.22,2129383,12/04/20
ILMN,"Illumina Inc",350.66,4.66,+1.35%,350.99,343.4,1172900,12/04/20
INCY,"Incyte Corp",83.14,0.24,+0.29%,83.86,82.41,862600,12/04/20
INFO,"IHS Markit Ltd",93.64,3.03,+3.34%,93.66,91.16,5718500,12/04/20
INTC,"Intel Corp",51.99,0.99,+1.95%,52.65,51,39767699,12/04/20
INTU,"Intuit Inc",368.6,4.9,+1.35%,371.94,364.07,1404400,12/04/20
IP,"International Paper Company",48.87,0.63,+1.31%,49.06,48.06,4050225,12/04/20
IPG,"Interpublic Group of Companies",23.96,0.27,+1.14%,24.07,23.65,3496377,12/04/20
IPGP,"Ipg Photonics Corp",212.07,5.1,+2.46%,212.43,207.1,136500,12/04/20
IQV,"Iqvia Holdings Inc",170.61,2.98,+1.78%,170.61,165.82,1496028,12/04/20
IR,"Ingersoll Rand Inc",45.19,0.73,+1.64%,45.45,44.8,1578785,12/04/20
IRM,"Iron Mountain Inc",29.16,1.07,+3.81%,29.16,28.13,4666543,12/04/20
ISRG,"Intuitive Surg Inc",780.34,21.62,+2.85%,781.9,753.47,553800,12/04/20
IT,"Gartner Inc",154.92,2.22,+1.45%,156.7,153.09,290297,12/04/20
ITW,"Illinois Tool Works Inc",205.13,1.68,+0.83%,206.54,204.03,1816833,12/04/20
IVZ,"Invesco Plc",17.79,-0.010000000000002,-0.06%,18.05,17.63,6121914,12/04/20
J,"Jacobs Engineering Group Inc",108.96,1.17,+1.09%,111.1,107.78,655191,12/04/20
JBHT,"J B Hunt Transport",137.24,2.86,+2.13%,137.55,134.5,560900,12/04/20
JCI,"Johnson Controls Intl",45.89,0.16,+0.35%,46.32,45.59,5273216,12/04/20
JKHY,"Jack Henry & Assoc",158.48,0.47,+0.30%,160.43,157.88,481300,12/04/20
JNJ,"Johnson & Johnson",150.27,1.27,+0.85%,150.31,149.27,6747083,12/04/20
JNPR,"Juniper Networks",21.98,0.35,+1.62%,22.01,21.61,4802334,12/04/20
JPM,"JP Morgan Chase & Company",122.34,1.1,+0.91%,123.29,121.69,13583654,12/04/20
K,"Kellogg Company",62.37,-0.63,-1.00%,62.92,61.99,2736627,12/04/20
KEY,Keycorp,16.12,0.16,+1.00%,16.31,15.96,12094931,12/04/20
