Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
120,Irv Smith Jr.\SmitIr01,MIN,21,,16,7,47,36,311,2,17,175,4.9,136,3.8,5.6,0,,1,2.1,0,107.7
121,Demaryius Thomas\ThomDe03,NYJ,32,WR,11,10,58,36,433,1,22,263,7.3,170,4.7,9.6,1,36.0,5,8.6,3,69.1
122,DeAndre Washington\WashDe00,OAK,26,,16,3,41,36,292,0,10,46,1.3,246,6.8,1.3,0,,2,4.9,0,96.3
123,Allen Lazard\LazaAl00,GNB,24,,16,3,52,35,477,3,24,346,9.9,131,3.7,14.2,0,,2,3.8,0,115.6
124,Phillip Lindsay\LindPh00,DEN,25,RB,16,16,48,35,196,0,9,-47,-1.3,243,6.9,-1.5,0,,6,12.5,0,79.9
125,Joe Mixon\MixoJo00,CIN,23,RB,16,15,45,35,287,3,14,-44,-1.3,331,9.5,-0.3,4,8.8,1,2.2,0,115.5
126,Dare Ogunbowale\OgunDa00,TAM,25,,16,0,46,35,286,0,14,79,2.3,207,5.9,2.6,2,17.5,2,4.3,3,64.2
127,Jonnu Smith\SmitJo01,TEN,24,TE,16,14,44,35,439,3,16,166,4.7,273,7.8,5.3,6,5.8,2,4.5,1,121.5
128,Geronimo Allison\AlliGe01,GNB,25,wr,16,6,55,34,287,2,16,177,5.2,110,3.2,7.4,1,34.0,5,9.1,0,87.5
129,James Conner\ConnJa00,PIT,24,RB,10,10,38,34,251,3,14,-47,-1.4,298,8.8,-1.4,8,4.3,1,2.6,0,120.5
130,Darren Fells\FellDa01,HOU,33,TE,16,14,48,34,341,7,22,173,5.1,168,4.9,5.4,2,17.0,3,6.3,0,130.3
131,Ryan Griffin\GrifRy00,NYJ,29,TE,13,13,41,34,320,5,19,138,4.1,182,5.4,5.4,2,17.0,2,4.9,0,138.8
132,O.J. Howard\HowaO.00,TAM,25,TE,14,14,53,34,459,1,23,309,9.1,150,4.4,10.0,2,17.0,5,9.4,2,82.2
133,J.D. McKissic\McKiJ.00,DET,26,,16,3,42,34,233,1,7,-4,-0.1,237,7.0,0.1,3,11.3,0,0.0,0,97.7
134,Latavius Murray\MurrLa00,NOR,29,rb,16,8,43,34,235,1,9,-49,-1.4,284,8.4,-1.2,5,6.8,3,7.0,1,87.5
