Player,Rk,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Code,FantPt/G,PPR/G
Devin Singletary,107,BUF,RB,22,12,8,0,0,0,0,0,151,775,5.13,2,41,29,194,6.69,2,4,1,4,,,119,147.9,154.9,133.4,,31,,SingDe00,9.916666667,12.325
Raheem Mostert,61,SFO,RB,27,16,0,0,0,0,0,0,137,772,5.64,8,22,14,180,12.86,2,2,2,10,,,151,165.2,173.2,158.2,11,20,61,MostRa00,9.4375,10.325
Kerryon Johnson,160,DET,RB,22,8,7,0,0,0,0,0,113,403,3.57,3,15,10,127,12.7,1,1,1,4,,,75,85,92,80,,47,,JohnKe06,9.375,10.625
David Montgomery,66,CHI,RB,22,16,8,0,0,0,0,0,242,889,3.67,6,35,25,185,7.4,1,2,2,7,,,145,170.4,178.4,157.9,5,22,66,MontDa01,9.0625,10.65
Carlos Hyde,72,HOU,RB,29,16,14,0,0,0,0,0,245,1070,4.37,6,16,10,42,4.2,0,4,2,6,,,143,153.2,158.2,148.2,3,23,72,HydeCa00,8.9375,9.575
Sony Michel,75,NWE,RB,24,16,14,0,0,0,0,0,247,912,3.69,7,20,12,94,7.83,0,2,1,7,,,141,152.6,156.6,146.6,,24,75,MichSo00,8.8125,9.5375
Adrian Peterson,99,WAS,RB,34,15,15,0,0,0,0,0,211,898,4.26,5,23,17,142,8.35,0,3,2,5,,,130,147,155,138.5,,28,,PeteAd01,8.666666667,9.8
James White,101,NWE,RB,27,15,1,1,1,35,0,0,67,263,3.93,1,95,72,645,8.96,5,1,1,6,1,,128,200.2,207.2,164.2,,29,,WhitJa02,8.533333333,13.34666667
Ronald Jones II,98,TAM,RB,22,16,9,0,0,0,0,0,172,724,4.21,6,40,31,309,9.97,0,3,2,6,,,135,166.3,174.3,150.8,,27,,JoneRo01,8.4375,10.39375
David Johnson,119,ARI,RB,28,13,9,0,0,0,0,0,94,345,3.67,2,47,36,370,10.28,4,1,1,6,,,106,141.5,148.5,123.5,,37,,JohnDa08,8.153846154,10.88461538
Tevin Coleman,110,SFO,RB,26,14,11,0,0,0,0,0,137,544,3.97,6,30,21,180,8.57,1,0,0,7,,,114,135.4,141.4,124.9,,32,,ColeTe01,8.142857143,9.671428571
Kareem Hunt,184,CLE,RB,24,8,3,0,0,0,0,0,43,179,4.16,2,44,37,285,7.7,1,1,0,3,,,64,101.4,107.4,82.9,,54,,HuntKa00,8,12.675
Latavius Murray,104,NOR,RB,29,16,8,0,0,0,0,0,146,637,4.36,5,43,34,235,6.91,1,0,0,6,,,123,157.2,163.2,140.2,,30,,MurrLa00,7.6875,9.825
Jamaal Williams,118,GNB,RB,24,14,2,0,0,0,0,0,107,460,4.3,1,45,39,253,6.49,5,0,0,6,,,107,146.3,152.3,126.8,,36,,WillJa06,7.642857143,10.45
LeSean McCoy,134,KAN,RB,31,13,9,0,0,0,0,0,101,465,4.6,4,34,28,181,6.46,1,3,2,5,,,91,118.6,126.6,104.6,,41,,McCoLe01,7,9.123076923
Duke Johnson,116,HOU,RB,26,16,2,0,0,0,0,0,83,410,4.94,2,62,44,410,9.32,3,1,1,5,,,110,154,161,132,,35,,JohnDu00,6.875,9.625
Rashaad Penny,178,SEA,RB,23,10,0,0,0,0,0,0,65,370,5.69,3,11,8,83,10.38,1,1,1,4,,,67,75.3,79.3,71.3,,53,,PennRa00,6.7,7.53
Boston Scott,165,PHI,RB,24,11,2,0,0,0,0,0,61,245,4.02,5,26,24,204,8.5,0,4,1,5,,,73,96.9,103.9,84.9,,51,,ScotBo02,6.636363636,8.809090909
Matt Breida,147,SFO,RB,24,13,5,0,0,0,0,0,123,623,5.07,1,22,19,120,6.32,1,2,1,2,,,84,103.3,110.3,93.8,,45,,BreiMa00,6.461538462,7.946153846
Peyton Barber,125,TAM,RB,25,16,7,0,0,0,0,0,154,470,3.05,6,24,16,115,7.19,1,1,1,7,1,,101,116.5,123.5,108.5,,39,,BarbPe01,6.3125,7.28125
Royce Freeman,131,DEN,RB,23,16,0,0,0,0,0,0,132,496,3.76,3,50,43,256,5.95,1,0,0,4,,,99,142.2,148.2,120.7,,40,,FreeRo00,6.1875,8.8875
Rex Burkhead,162,NWE,RB,29,13,1,0,0,0,0,0,65,302,4.65,3,38,27,279,10.33,0,1,1,3,,,74,101.1,108.1,87.6,,49,,BurkRe00,5.692307692,7.776923077
Chase Edmonds,169,ARI,RB,23,13,2,0,0,0,0,0,60,303,5.05,4,21,12,105,8.75,1,0,0,5,,,71,82.8,88.8,76.8,,52,,EdmoCh00,5.461538462,6.369230769
DeAndre Washington,140,OAK,RB,26,16,3,0,0,0,0,0,108,387,3.58,3,41,36,292,8.11,0,0,0,3,,,86,121.9,127.9,103.9,,42,,WashDe00,5.375,7.61875
Gus Edwards,139,BAL,RB,24,16,1,0,0,0,0,0,133,711,5.35,2,7,7,45,6.43,0,2,1,2,,,86,92.6,96.6,89.1,,43,,EdwaGu00,5.375,5.7875
Tarik Cohen,141,CHI,RB,24,16,11,0,0,0,0,0,64,213,3.33,0,104,79,456,5.77,3,3,0,3,,,85,163.9,169.9,124.4,,44,,CoheTa00,5.3125,10.24375
Frank Gore,150,BUF,RB,36,16,8,0,0,0,0,0,166,599,3.61,2,16,13,100,7.69,0,0,0,2,,,82,94.9,100.9,88.4,,46,,GoreFr00,5.125,5.93125
Tony Pollard,164,DAL,RB,22,15,0,0,0,0,0,0,86,455,5.29,2,20,15,107,7.13,1,1,1,3,1,,74,89.2,96.2,81.7,,48,,PollTo00,4.933333333,5.946666667
Brian Hill,194,ATL,RB,24,12,2,0,0,0,0,0,78,323,4.14,2,14,10,69,6.9,1,0,0,3,,,57,67.2,70.2,62.2,,57,,HillBr02,4.75,5.6
Chris Thompson,214,WAS,RB,29,11,0,0,0,0,0,0,37,138,3.73,0,58,42,378,9,0,1,0,0,,,52,93.6,99.6,72.6,,61,,ThomCh03,4.727272727,8.509090909
Nyheim Hines,163,IND,RB,23,16,2,0,0,0,0,0,52,199,3.83,2,58,44,320,7.27,0,1,1,4,,,74,117.9,124.9,95.9,,50,,HineNy00,4.625,7.36875
Alexander Mattison,190,MIN,RB,21,13,0,0,0,0,0,0,100,462,4.62,1,12,10,82,8.2,0,1,1,1,,,58,68.4,72.4,63.4,,55,,MattAl01,4.461538462,5.261538462
Darrel Williams,211,KAN,RB,24,12,0,0,0,0,0,0,41,141,3.44,3,19,15,167,11.13,1,1,1,4,,,53,67.8,74.8,60.3,,60,,WillDa10,4.416666667,5.65
Jeff Wilson,237,SFO,RB,24,10,0,0,0,0,0,0,27,105,3.89,4,5,3,34,11.33,1,0,0,5,,,44,46.9,49.9,45.4,,68,,WilsJe01,4.4,4.69
Benny Snell Jr.,203,PIT,RB,21,13,2,0,0,0,0,0,108,426,3.94,2,4,3,23,7.67,0,1,1,2,,,55,57.9,61.9,56.4,,59,,SnelBe00,4.230769231,4.453846154
Jaylen Samuels,195,PIT,RB,23,14,4,4,5,35,0,1,66,175,2.65,1,57,47,305,6.49,1,1,1,2,,,57,104.4,112.4,81.9,,56,,SamuJa00,4.071428571,7.457142857
Malcolm Brown,192,LAR,RB,26,14,1,0,0,0,0,0,69,255,3.7,5,6,2,16,8,0,0,0,5,,,57,59.1,62.1,58.1,,58,,BrowMa03,4.071428571,4.221428571
Jonathan Williams,267,IND,RB,25,9,1,0,0,0,0,0,49,235,4.8,1,5,5,59,11.8,0,0,0,1,,,35,40.4,43.4,37.9,,79,,WillJo07,3.888888889,4.488888889
Qadree Ollison,281,ATL,RB,23,8,0,0,0,0,0,0,22,50,2.27,4,2,1,7,7,0,1,0,4,,,30,30.7,30.7,30.2,,81,,OlliQa00,3.75,3.8375
Wayne Gallman,258,NYG,RB,25,10,2,0,0,0,0,0,29,110,3.79,2,15,11,102,9.27,1,1,1,3,,,37,48.2,55.2,42.7,,77,,GallWa00,3.7,4.82
Jordan Wilkins,230,IND,RB,25,14,1,0,0,0,0,0,51,307,6.02,2,11,7,43,6.14,0,0,0,2,,,47,54,57,50.5,,64,,WilkJo01,3.357142857,3.857142857
Kalen Ballage,253,MIA,RB,24,12,6,0,0,0,0,0,74,135,1.82,3,24,14,63,4.5,0,0,0,3,,,38,51.8,54.8,44.8,,75,,BallKa00,3.166666667,4.316666667
J.D. McKissic,221,DET,RB,26,16,3,0,0,0,0,0,38,205,5.39,0,42,34,233,6.85,1,0,0,1,,,50,83.8,89.8,66.8,,63,,McKiJ.00,3.125,5.2375
Patrick Laird,233,MIA,RB,24,15,4,0,0,0,0,0,62,168,2.71,1,30,23,204,8.87,0,0,0,1,1,,45,68.2,74.2,56.7,,67,,LairPa00,3,4.546666667
Jalen Richard,229,OAK,RB,26,16,0,0,0,0,0,0,39,145,3.72,0,43,36,323,8.97,0,2,0,0,,,47,82.8,88.8,64.8,,66,,RichJa01,2.9375,5.175
Mike Boone,225,MIN,RB,24,16,2,0,0,0,0,0,49,273,5.57,3,4,3,17,5.67,0,0,0,3,,,47,50,53,48.5,,65,,BoonMi00,2.9375,3.125
Brandon Bolden,240,NWE,RB,29,15,2,0,0,0,0,0,15,68,4.53,3,11,9,111,12.33,1,0,0,4,,,42,50.9,53.9,46.4,,70,,BoldBr00,2.8,3.393333333
Justice Hill,241,BAL,RB,22,16,0,0,0,0,0,0,58,225,3.88,2,15,8,70,8.75,0,0,0,2,,,42,49.5,52.5,45.5,,71,,HillJu00,2.625,3.09375
Kyle Juszczyk,278,SFO,RB,28,12,12,0,0,0,0,0,3,7,2.33,0,24,20,239,11.95,1,0,0,1,,,31,50.6,53.6,40.6,,80,,JuszKy00,2.583333333,4.216666667
Dion Lewis,247,TEN,RB,29,16,1,0,0,0,0,0,54,209,3.87,0,32,25,164,6.56,1,1,1,1,,,41,66.3,73.3,53.8,,72,,LewiDi00,2.5625,4.14375
Dare Ogunbowale,251,TAM,RB,25,16,0,0,0,0,0,0,11,17,1.55,2,46,35,286,8.17,0,2,1,2,,,40,75.3,79.3,57.8,,73,,OgunDa00,2.5,4.70625
Giovani Bernard,254,CIN,RB,28,16,2,0,0,0,0,0,53,170,3.21,0,43,30,234,7.8,0,2,1,0,,,38,68.4,75.4,53.4,,74,,BernGi00,2.375,4.275
Ryquell Armstead,257,JAX,RB,23,16,1,0,0,0,0,0,35,108,3.09,0,24,14,144,10.29,2,0,0,2,,,37,51.2,57.2,44.2,,76,,ArmsRy00,2.3125,3.2
Ty Johnson,262,DET,RB,22,16,1,0,0,0,0,0,63,273,4.33,0,31,24,109,4.54,0,1,1,0,,,36,60.2,67.2,48.2,,78,,JohnTy02,2.25,3.7625
C.J. Prosise,339,SEA,RB,25,9,0,0,0,0,0,0,23,72,3.13,1,12,10,76,7.6,0,1,1,1,,,19,28.8,29.8,23.8,,93,,ProsC.00,2.111111111,3.2
Bilal Powell,299,NYJ,RB,31,13,1,0,1,0,0,0,59,229,3.88,0,12,7,33,4.71,0,0,0,0,,,26,33.2,36.2,29.7,,83,,PoweBi00,2,2.553846154
Darwin Thompson,319,KAN,RB,23,12,0,0,0,0,0,0,37,128,3.46,1,10,9,43,4.78,0,0,0,1,,,23,32.1,35.1,27.6,,89,,ThomDa06,1.916666667,2.675
Dontrell Hilliard,297,CLE,RB,24,14,0,0,0,0,0,0,13,49,3.77,2,15,12,92,7.67,0,2,0,2,,,26,38.1,38.1,32.1,,84,,HillDo00,1.857142857,2.721428571
Ameer Abdullah,309,MIN,RB,26,16,0,0,0,0,0,0,23,115,5,0,21,15,88,5.87,1,1,1,1,,,24,39.3,43.3,31.8,,87,,AbduAm00,1.5,2.45625
Reggie Bonnafon,315,CAR,RB,23,16,0,0,0,0,0,0,16,116,7.25,1,9,6,57,9.5,0,0,0,1,,,23,29.3,32.3,26.3,,88,,BonnRe00,1.4375,1.83125
Darrell Henderson,341,LAR,RB,22,13,0,0,0,0,0,0,39,147,3.77,0,6,4,37,9.25,0,0,0,0,,,18,22.4,25.4,20.4,,94,,HendDa00,1.384615385,1.723076923
C.J. Ham,328,MIN,RB,26,16,7,0,0,0,0,0,7,17,2.43,0,26,17,149,8.76,1,1,1,1,,,21,37.6,41.6,29.1,,91,,HamxC.00,1.3125,2.35
Trey Edmunds,363,PIT,RB,25,11,0,0,0,0,0,0,22,92,4.18,0,7,6,48,8,0,0,0,0,,,14,20,20,17,,100,,EdmuTr00,1.272727273,1.818181818
Ty Montgomery,338,NYJ,RB,26,16,2,0,0,0,0,0,32,103,3.22,0,17,13,90,6.92,0,0,0,0,,,19,32.3,35.3,25.8,,92,,MontTy01,1.1875,2.01875
Javorius Allen,380,NYG,RB,28,10,0,0,0,0,0,0,10,36,3.6,1,2,1,9,9,0,0,0,1,,,11,11.5,11.5,11,,104,,AlleJa01,1.1,1.15
Travis Homer,345,SEA,RB,21,16,1,0,0,0,0,0,18,114,6.33,0,13,11,56,5.09,0,0,0,0,,,17,28,31,22.5,,95,,HomeTr00,1.0625,1.75
Wendell Smallwood,360,WAS,RB,25,15,0,0,0,0,0,0,22,81,3.68,0,13,9,64,7.11,0,0,0,0,,,15,23.5,23.5,19,,98,,SmalWe00,1,1.566666667
Andrew Beck,354,DEN,RB,23,16,6,1,1,6,0,0,1,3,3,0,12,9,90,10,1,0,0,1,,,16,24.5,24.5,20,,97,,BeckAn01,1,1.53125
Alec Ingold,379,OAK,RB,23,16,4,0,0,0,0,0,10,17,1.7,0,6,6,44,7.33,1,0,0,1,,,12,18.1,18.1,15.1,,102,,IngoAl01,0.75,1.13125
Danny Vitale,393,GNB,RB,26,15,4,0,0,0,0,0,1,3,3,0,12,7,97,13.86,0,0,0,0,,,10,17,17,13.5,,107,,VitaDa00,0.666666667,1.133333333
Kenjon Barner,396,ATL,RB,29,14,0,1,1,3,0,0,4,28,7,0,8,6,22,3.67,0,4,1,1,,,9,15.1,16.1,12.1,,110,,BarnKe00,0.642857143,1.078571429
Derek Watt,394,LAC,RB,27,16,2,0,0,0,0,0,7,10,1.43,1,5,3,32,10.67,0,0,0,1,,,10,13.2,13.2,11.7,,106,,WattDe00,0.625,0.825
Nick Bellore,406,SEA,RB,30,14,1,0,0,0,0,0,0,0,,0,2,2,23,11.5,1,0,0,1,,,8,10.3,10.3,9.3,,111,,BellNi01,0.571428571,0.735714286
D'Ernest Johnson,402,CLE,RB,23,16,0,0,0,0,0,0,4,21,5.25,0,7,6,71,11.83,0,0,0,0,,,9,15.2,15.2,12.2,,109,,JohnDE04,0.5625,0.95
Zach Line,431,NOR,RB,29,12,2,0,0,0,0,0,7,20,2.86,0,10,6,36,6,0,0,0,0,,,6,11.6,11.6,8.6,,119,,LineZa01,0.5,0.966666667
Troymaine Pope,419,LAC,RB,26,14,0,0,0,0,0,0,10,20,2,0,3,2,14,7,1,1,1,1,,,7,9.4,10.4,8.4,,113,,PopeTr00,0.5,0.671428571
Alex Armah,405,CAR,RB,25,16,1,0,0,0,0,0,6,11,1.83,1,2,2,6,3,0,0,0,1,,,8,9.7,9.7,8.7,,112,,ArmaAl00,0.5,0.60625
Devine Ozigbo,443,JAX,RB,23,10,0,0,0,0,0,0,9,27,3,0,5,3,23,7.67,0,0,0,0,,,5,8,8,6.5,,122,,OzigDe01,0.5,0.8
Cethan Carter,417,CIN,RB,24,15,0,0,0,0,0,0,0,0,,0,3,2,13,6.5,1,0,0,1,,,7,9.3,9.3,8.3,,115,,CartCe00,0.466666667,0.62
Taiwan Jones,441,HOU,RB,31,11,0,0,0,0,0,0,9,40,4.44,0,1,1,9,9,0,0,0,0,,,5,5.9,5.9,5.4,,124,,JoneTa00,0.454545455,0.536363636
Devontae Booker,415,DEN,RB,27,16,0,0,0,0,0,0,2,9,4.5,0,9,6,57,9.5,0,0,0,0,,,7,12.6,12.6,9.6,,118,,BookDe00,0.4375,0.7875
Dwayne Washington,425,NOR,RB,25,16,0,0,0,0,0,0,8,60,7.5,0,1,1,6,6,0,0,0,0,,,7,7.6,7.6,7.1,,116,,WashDw00,0.4375,0.475
Mike Davis,437,2TM,RB,26,12,1,0,0,0,0,0,13,27,2.08,0,8,7,22,3.14,0,0,0,0,,,5,11.9,11.9,8.4,,123,,DaviMi01,0.416666667,0.991666667
Elijhaa Penny,444,NYG,RB,26,16,1,0,0,0,0,0,15,39,2.6,0,4,2,9,4.5,0,0,0,0,,,5,6.8,6.8,5.8,,126,,PennEl00,0.3125,0.425
Patrick DiMarco,438,BUF,RB,30,16,4,0,0,0,0,0,3,7,2.33,0,7,5,41,8.2,0,0,0,0,,,5,9.8,9.8,7.3,,125,,DiMaPa00,0.3125,0.6125
Nick Bawden,478,DET,RB,23,10,2,0,0,0,0,0,0,0,,0,6,4,17,4.25,0,0,0,0,,,2,5.7,5.7,3.7,,135,,BawdNi00,0.2,0.57
Tyler Ervin,485,2TM,RB,26,10,0,0,0,0,0,0,1,10,10,0,4,2,11,5.5,0,2,0,0,,,2,4.1,4.1,3.1,,133,,ErviTy00,0.2,0.41
Anthony Sherman,474,KAN,RB,31,16,0,0,0,0,0,0,4,9,2.25,0,3,2,22,11,0,0,0,0,,,3,5.1,5.1,4.1,,129,,SherAn00,0.1875,0.31875
T.J. Logan,488,TAM,RB,25,12,0,0,0,0,0,0,3,10,3.33,0,3,2,13,6.5,0,0,0,0,,,2,4.3,4.3,3.3,,132,,LogaT.00,0.166666667,0.358333333
Keith Smith,495,ATL,RB,27,16,5,0,0,0,0,0,5,8,1.6,0,3,1,13,13,0,0,0,0,,,2,3.1,3.1,2.6,,134,,SmitKe03,0.125,0.19375
Ryan Nall,520,CHI,RB,24,8,0,0,0,0,0,0,2,8,4,0,0,0,0,,0,0,0,0,,,1,0.8,0.8,0.8,,146,,NallRy00,0.125,0.1
De'Lance Turner,534,MIA,RB,24,8,0,0,0,0,0,0,4,6,1.5,0,0,0,0,,0,0,0,0,,,1,0.6,0.6,0.6,,148,,TurnDe01,0.125,0.075
Jordan Scarlett,524,CAR,RB,23,9,0,0,0,0,0,0,4,9,2.25,0,0,0,0,,0,0,0,0,,,1,0.9,0.9,0.9,,142,,ScarJo00,0.111111111,0.1
Buddy Howell,513,HOU,RB,23,16,0,0,0,0,0,0,5,10,2,0,0,0,0,,0,0,0,0,,,1,1,1,1,,141,,HoweGr00,0.0625,0.0625
