Player,Rk,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Code,FantPt/G,PPR/G
Randall Cobb,129,DAL,WR,29,15,6,0,1,0,0,0,3,11,3.67,0,83,55,828,15.05,3,2,1,3,,,100.0,154.9,158.9,127.4,,47,,CobbRa00,6.666666666666667,10.326666666666666
Hunter Renfrow,145,OAK,WR,24,13,4,0,0,0,0,0,0,0,,0,71,49,605,12.35,4,1,0,4,,,85.0,133.5,136.5,109.0,,55,,RenfHu00,6.538461538461538,10.26923076923077
Diontae Johnson,120,PIT,WR,23,16,12,0,0,0,0,0,4,41,10.25,0,92,59,680,11.53,5,5,2,6,,,104.0,163.1,168.1,133.6,,40,,JohnDi01,6.5,10.19375
Larry Fitzgerald,123,ARI,WR,36,16,16,0,0,0,0,0,0,0,,0,109,75,804,10.72,4,1,1,4,,,102.0,177.4,181.4,139.9,,42,,FitzLa00,6.375,11.0875
Sammy Watkins,138,KAN,WR,26,14,13,0,0,0,0,0,2,12,6.0,0,90,52,673,12.94,3,2,1,3,1.0,,87.0,138.5,142.5,112.5,,52,,WatkSa00,6.214285714285714,9.892857142857142
Kenny Stills,152,HOU,WR,27,13,5,0,0,0,0,0,0,0,,0,55,40,561,14.03,4,0,0,4,,,80.0,120.1,123.1,100.1,,58,,StilKe00,6.153846153846154,9.238461538461538
Dede Westbrook,135,JAX,WR,26,15,11,0,0,0,0,0,5,27,5.4,0,101,66,660,10.0,3,1,0,3,2.0,,91.0,156.7,159.7,123.7,,50,,WestDe00,6.066666666666666,10.446666666666665
James Washington,137,PIT,WR,23,15,10,0,0,0,0,0,0,0,,0,80,44,735,16.7,3,1,1,3,,,90.0,133.5,137.5,111.5,,51,,WashJa00,6.0,8.9
JuJu Smith-Schuster,171,PIT,WR,23,12,12,0,0,0,0,0,0,0,,0,70,42,552,13.14,3,1,1,3,,,71.0,113.2,117.2,92.2,,66,,SmitJu00,5.916666666666667,9.433333333333334
Zach Pascal,133,IND,WR,25,16,13,0,1,0,0,0,2,16,8.0,0,72,41,607,14.8,5,0,0,5,1.0,,94.0,135.3,138.3,114.8,,48,,PascZa00,5.875,8.45625
Mecole Hardman,132,KAN,WR,21,16,5,0,0,0,0,0,4,17,4.25,0,41,26,538,20.69,6,2,2,7,,,94.0,119.5,124.5,106.5,,49,,HardMe00,5.875,7.46875
Brandin Cooks,156,LAR,WR,26,14,14,0,0,0,0,0,6,52,8.67,0,72,42,583,13.88,2,0,0,2,,,76.0,117.5,120.5,96.5,,62,,CookBr00,5.428571428571429,8.392857142857142
Danny Amendola,153,DET,WR,34,15,10,1,1,19,1,0,0,0,,0,97,62,678,10.94,1,0,0,1,,,79.0,140.6,143.6,109.6,,60,,AmenDa00,5.266666666666667,9.373333333333333
Auden Tate,187,CIN,WR,22,12,10,0,0,0,0,0,0,0,,0,80,40,575,14.38,1,1,1,1,,,62.0,101.5,105.5,81.5,,73,,TateAu00,5.166666666666667,8.458333333333334
Phillip Dorsett,167,NWE,WR,26,14,4,0,0,0,0,0,3,21,7.0,0,54,29,397,13.69,5,0,0,5,,,72.0,100.8,103.8,86.3,,65,,DorsPh00,5.142857142857143,7.2
Marcus Johnson,250,IND,WR,25,8,6,0,0,0,0,0,0,0,,0,33,17,277,16.29,2,0,0,2,,,40.0,56.7,59.7,48.2,,95,,JohnMa07,5.0,7.0875
Nelson Agholor,199,PHI,WR,26,11,10,0,0,0,0,0,2,7,3.5,0,69,39,363,9.31,3,2,1,3,1.0,,55.0,94.0,98.0,74.5,,79,,AghoNe00,5.0,8.545454545454545
