Player,Rk,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Code,FantPt/G,PPR/G
Lee Smith,404,BUF,TE,32,16,5,0,0,0,0,0,0,0,,0,5,4,31,7.75,1,0,0,1,,,9.0,13.1,13.1,11.1,,80,,SmitLe00,0.5625,0.81875
Mo Alie-Cox,395,IND,TE,26,16,2,0,0,0,0,0,0,0,,0,11,8,93,11.63,0,0,0,0,,,9.0,17.3,17.3,13.3,,79,,AlieMo00,0.5625,1.08125
Deon Yelder,449,KAN,TE,24,9,1,0,0,0,0,0,0,0,,0,4,3,50,16.67,0,0,0,0,,,5.0,8.0,8.0,6.5,,91,,YeldDe00,0.5555555555555556,0.8888888888888888
Blake Bell,414,KAN,TE,28,15,7,0,0,0,0,0,0,0,,0,15,8,67,8.38,0,0,0,0,,,7.0,14.7,14.7,10.7,,85,,BellBl00,0.4666666666666667,0.98
Durham Smythe,422,MIA,TE,24,16,14,0,0,0,0,0,0,0,,0,14,7,65,9.29,0,0,0,0,,,7.0,13.5,13.5,10.0,,86,,SmytDu00,0.4375,0.84375
Lance Kendricks,442,LAC,TE,31,12,1,0,0,0,0,0,0,0,,0,7,3,50,16.67,0,0,0,0,,,5.0,8.0,8.0,6.5,,92,,KendLa00,0.4166666666666667,0.6666666666666666
Tyler Conklin,427,MIN,TE,24,15,1,0,0,0,0,0,0,0,,0,10,8,58,7.25,0,0,0,0,,,6.0,13.8,13.8,9.8,,89,,ConkTy00,0.4,0.92
Drew Sample,471,CIN,TE,23,9,2,0,0,0,0,0,0,0,,0,6,5,30,6.0,0,0,0,0,,,3.0,8.0,8.0,5.5,,95,,SampDr00,0.3333333333333333,0.8888888888888888
Tanner Hudson,465,TAM,TE,25,9,1,0,0,0,0,0,0,0,,0,5,2,26,13.0,0,0,0,0,,,3.0,4.6,4.6,3.6,,97,,HudsTa00,0.3333333333333333,0.5111111111111111
Pharaoh Brown,460,CLE,TE,25,9,6,0,0,0,0,0,0,0,,0,3,2,27,13.5,0,0,0,0,,,3.0,4.7,4.7,3.7,,96,,BrowPh01,0.3333333333333333,0.5222222222222223
Luke Stocker,445,ATL,TE,31,15,9,0,0,0,0,0,0,0,,0,14,8,53,6.63,0,1,0,0,,,5.0,13.3,13.3,9.3,,90,,StocLu00,0.3333333333333333,0.8866666666666667
Trevon Wesco,446,NYJ,TE,24,16,1,0,0,0,0,0,1,2,2.0,0,3,2,47,23.5,0,0,0,0,,,5.0,6.9,6.9,5.9,,93,,WescTr00,0.3125,0.43125
Johnny Mundt,469,LAR,TE,25,13,2,0,0,0,0,0,0,0,,0,7,4,26,6.5,0,0,0,0,,,3.0,6.6,6.6,4.6,,98,,MundJo00,0.23076923076923078,0.5076923076923077
Antony Auclair,500,TAM,TE,26,8,5,0,0,0,0,0,0,0,,0,3,1,11,11.0,0,0,0,0,,,1.0,2.1,2.1,1.6,,104,,AuclAn00,0.125,0.2625
Ben Koyack,517,JAX,TE,26,11,6,0,0,0,0,0,0,0,,0,3,1,9,9.0,0,0,0,0,,,1.0,1.9,1.9,1.4,,107,,KoyaBe00,0.09090909090909091,0.17272727272727273
Levine Toilolo,533,SFO,TE,28,13,0,0,0,0,0,0,0,0,,0,2,2,10,5.0,0,0,0,0,,,1.0,3.0,3.0,2.0,,106,,ToilLe00,0.07692307692307693,0.23076923076923078
Chris Manhertz,518,CAR,TE,27,15,6,0,0,0,0,0,0,0,,0,1,1,11,11.0,0,0,0,0,,,1.0,2.1,2.1,1.6,,103,,ManhCh00,0.06666666666666667,0.14
Dalton Schultz,525,DAL,TE,23,16,0,0,0,0,0,0,0,0,,0,2,1,6,6.0,0,0,0,0,,,1.0,1.6,1.6,1.1,,110,,SchuDa00,0.0625,0.1
