Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
68,Tyler Lockett*+\LockTy00,SEA,23,fb/wr,16,8,69,51,73.9%,664,13.0,6,49,9.6,3.2,41.5,1
69,Charles Sims\SimsCh00,TAM,25,,16,0,70,51,72.9%,561,11.0,4,56,8.0,3.2,35.1,2
70,Davante Adams\AdamDa01,GNB,23,WR,13,12,94,50,53.2%,483,9.7,1,40,5.1,3.8,37.2,0
71,Martavis Bryant\BryaMa00,PIT,24,wr,11,5,92,50,54.3%,765,15.3,6,88,8.3,4.5,69.5,1
72,Mark Ingram\IngrMa01,NOR,26,RB,12,10,60,50,83.3%,405,8.1,0,59,6.8,4.2,33.8,2
73,James Jones\JoneJa04,GNB,31,WR,16,15,99,50,50.5%,890,17.8,8,65,9.0,3.1,55.6,1
74,Giovani Bernard\BernGi00,CIN,24,rb,16,1,66,49,74.2%,472,9.6,0,45,7.2,3.1,29.5,1
75,Jermaine Kearse\KearJe01,SEA,25,WR,16,16,68,49,72.1%,685,14.0,5,50,10.1,3.1,42.8,1
76,Kyle Rudolph\RudoKy00,MIN,26,TE,16,16,73,49,67.1%,495,10.1,5,47,6.8,3.1,30.9,0
77,Jimmy Graham\GrahJi00,SEA,29,TE,11,11,74,48,64.9%,605,12.6,2,45,8.2,4.4,55.0,0
78,Eric Ebron\EbroEr00,DET,22,TE,14,8,70,47,67.1%,537,11.4,5,55,7.7,3.4,38.4,0
79,Lamar Miller\MillLa01,MIA,24,RB,16,16,57,47,82.5%,397,8.4,2,54,7.0,2.9,24.8,1
80,Bilal Powell\PoweBi00,NYJ,27,fb/rb,11,2,63,47,74.6%,388,8.3,2,25,6.2,4.3,35.3,2
81,Nate Washington\WashNa00,HOU,32,WR,14,14,94,47,50.0%,658,14.0,4,49,7.0,3.4,47.0,0
82,Robert Woods\WoodRo02,BUF,23,WR,14,9,80,47,58.8%,552,11.7,3,37,6.9,3.4,39.4,2
83,Owen Daniels\DaniOw00,DEN,33,TE,16,16,77,46,59.7%,517,11.2,3,37,6.7,2.9,32.3,0
84,Brian Hartline\HartBr00,CLE,29,wr,12,4,77,46,59.7%,523,11.4,2,41,6.8,3.8,43.6,1
85,Steve Smith\SmitSt01,BAL,36,wr,7,7,73,46,63.0%,670,14.6,3,50,9.2,6.6,95.7,0
86,Julius Thomas\ThomJu00,JAX,27,TE,12,11,80,46,57.5%,455,9.9,5,34,5.7,3.8,37.9,0
87,Javorius Allen\AlleJa01,BAL,24,rb,16,6,62,45,72.6%,353,7.8,2,41,5.7,2.8,22.1,2
88,Marques Colston\ColsMa00,NOR,32,wr,13,5,67,45,67.2%,520,11.6,4,53,7.8,3.5,40.0,0
89,Steve Johnson\JohnSt00,SDG,29,WR,10,8,65,45,69.2%,497,11.0,3,34,7.6,4.5,49.7,1
90,Matt Forte\FortMa00,CHI,30,RB,13,13,58,44,75.9%,389,8.8,3,38,6.7,3.4,29.9,2
91,Ted Ginn\GinnTe00,CAR,30,WR,15,13,97,44,45.4%,739,16.8,10,74,7.6,2.9,49.3,0
92,DeMarco Murray\MurrDe00,PHI,27,RB,15,8,55,44,80.0%,322,7.3,1,44,5.9,2.9,21.5,2
93,Markus Wheaton\WheaMa00,PIT,24,WR,16,8,79,44,55.7%,749,17.0,5,72,9.5,2.8,46.8,0
94,Rishard Matthews\MattRi00,MIA,26,WR,11,11,61,43,70.5%,662,15.4,4,53,10.9,3.9,60.2,0
95,James Starks\StarJa00,GNB,29,rb,16,4,53,43,81.1%,392,9.1,3,30,7.4,2.7,24.5,5
96,Roddy White\WhitRo00,ATL,34,WR,16,16,70,43,61.4%,506,11.8,1,25,7.2,2.7,31.6,0
97,Cecil Shorts\ShorCe00,HOU,28,wr,11,4,75,42,56.0%,484,11.5,2,42,6.5,3.8,44.0,2
98,Will Tye\TyexWi00,NYG,24,te/wr,13,7,62,42,67.7%,464,11.0,3,45,7.5,3.2,35.7,1
99,Andre Johnson\JohnAn02,IND,34,WR,16,14,77,41,53.2%,503,12.3,4,35,6.5,2.6,31.4,0
100,Kyle Juszczyk\JuszKy00,BAL,24,FB,16,11,56,41,73.2%,321,7.8,4,39,5.7,2.6,20.1,0
101,Latavius Murray*\MurrLa00,OAK,25,RB,16,16,53,41,77.4%,232,5.7,0,23,4.4,2.6,14.5,4
102,Darren McFadden\McFaDa00,DAL,28,RB,16,10,53,40,75.5%,328,8.2,0,21,6.2,2.5,20.5,3
103,James White\WhitJa02,NWE,23,rb,14,1,54,40,74.1%,410,10.3,4,68,7.6,2.9,29.3,0
104,DeAngelo Williams\WillDe02,PIT,32,RB,16,10,47,40,85.1%,367,9.2,0,34,7.8,2.5,22.9,4
105,Jared Cook\CookJa02,STL,28,TE,16,12,75,39,52.0%,481,12.3,0,49,6.4,2.4,30.1,2
106,Jerricho Cotchery\CotcJe00,CAR,33,wr,14,3,54,39,72.2%,485,12.4,3,59,9.0,2.8,34.6,0
107,Mike Wallace\WallMi00,MIN,29,WR,16,12,72,39,54.2%,473,12.1,2,34,6.6,2.4,29.6,0
108,Vernon Davis\DaviVe00,2TM,31,,15,9,58,38,65.5%,395,10.4,0,43,6.8,2.5,26.3,0
109,Ladarius Green\GreeLa00,SDG,25,TE,13,11,63,37,58.7%,429,11.6,4,31,6.8,2.8,33.0,0
110,Brandon LaFell\LaFeBr00,NWE,29,wr,11,7,74,37,50.0%,515,13.9,0,54,7.0,3.4,46.8,0
111,Eddie Royal\RoyaEd00,CHI,29,WR,9,9,50,37,74.0%,238,6.4,1,30,4.8,4.1,26.4,0
112,Kenny Britt\BritKe00,STL,27,WR,16,14,72,36,50.0%,681,18.9,3,60,9.5,2.3,42.6,0
113,Harry Douglas\DougHa00,TEN,31,WR,14,12,72,36,50.0%,411,11.4,2,51,5.7,2.6,29.4,2
114,Dwayne Harris\HarrDw00,NYG,28,fb/wr,15,6,57,36,63.2%,396,11.0,4,38,6.9,2.4,26.4,3
115,Chris Hogan\HogaCh00,BUF,28,wr,16,4,59,36,61.0%,450,12.5,2,46,7.6,2.3,28.1,0
116,David Johnson\JohnDa08,ARI,24,rb,16,5,57,36,63.2%,457,12.7,4,55,8.0,2.3,28.6,4
