,Mean,Median,STD,+1SD,-1SD,L5 Rel to Self,.30,.70,L5 Touches,L5 Touches Rel to Self,L5 Avg FP/G,Mean Rel to Peers,SD Rel to Peers,Touches Rel to Peers,Mean Rel to Peers RK,STD Rel to Peers RK,Avg Rank Rel to Peers
Keelan Cole,1.8226923076923076,1.3250000000000002,1.259448563364413,3.082140871056721,0.5632437443278946,0.05741218372152818,,,4.6,1.1189223590804906,8.74,0.2574486236908449,0.022810043941724065,0.575647900677553,36.0,54.0,45.0
D.J. Moore,1.7148226686507937,1.3583333333333334,1.1811171849467925,2.895939853597586,0.5337054837040012,0.5225369160783221,1.097222222222222,1.7759999999999998,4.6,-0.34768044045170193,9.6,0.0040452947307781225,-0.12764675024695682,0.575647900677553,45.0,46.0,45.5
Tyler Boyd,1.4864310515873016,1.235,0.689366942889609,2.175797994476911,0.7970641086976926,-0.21897606589366747,1.1,1.8135000000000001,7.0,0.5158876911597232,9.440000000000001,-0.5324837655749514,-1.072187322059343,2.9756479006775534,68.0,10.0,39.0
Jamison Crowder,1.6244456845238098,1.3125,1.3139838138952802,2.93842949841909,0.3104618706285296,0.04934614039855442,0.9075,1.74125,7.4,0.9693663149870534,12.580000000000002,-0.20826494235395904,0.1275598789491607,3.3756479006775537,51.0,59.0,55.0
Amari Cooper,1.7192180134680133,1.4416666666666667,1.036671536074766,2.755889549542779,0.6825464773932473,-0.5492966825792801,,,8.0,0.7805988442544759,9.64,0.01437067468483706,-0.40509404790487974,3.9756479006775534,43.0,36.0,39.5
Cooper Kupp,1.785925615603035,1.8285714285714287,0.8853663563365477,2.6712919719395827,0.9005592592664873,-0.4161368336102908,,,6.0,0.15247950681976907,9.420000000000002,0.17107768323849165,-0.6957169470218134,1.9756479006775534,37.0,23.0,30.0
Brandin Cooks,1.7280943362193362,1.448611111111111,0.8416886124158504,2.5697829486351864,0.8864057238034858,-0.018114910635835795,,,5.0,0.25490465902140813,9.34,0.03522260071421362,-0.7796119768356128,0.9756479006775534,42.0,20.0,31.0
DeVante Parker,2.0976828231292517,1.8333333333333335,1.246189720752049,3.3438725438813006,0.8514931023772028,0.1473696236984306,,,5.0,0.47175975487514016,8.74,0.9034460763878766,-0.002657182531336844,0.9756479006775534,15.0,51.0,33.0
Julio Jones,1.8415252022283275,1.5350000000000001,0.8051323319134104,2.6466575341417378,1.0363928703149172,-0.282287968664931,1.3290000000000002,2.2,6.0,-0.2977253142586402,10.959999999999999,0.3016901564500734,-0.8498282922250283,1.9756479006775534,32.0,17.0,24.5
Keenan Allen,1.5498431407302375,1.4857142857142858,0.7084147994046223,2.2582579401348597,0.8414283413256153,0.3526566485483592,,,6.8,0.03453965050837355,9.52,-0.3835184531115589,-1.0356007141723278,2.775647900677553,58.0,12.0,35.0
Emmanuel Sanders,1.546798566017316,1.3381818181818184,0.8288750070653987,2.3756735730827145,0.7179235589519173,0.49046570815947127,1.0215,2.084,5.2,0.15324611868007948,8.48,-0.39067065436463844,-0.8042240036117713,1.1756479006775535,59.0,19.0,39.0
Michael Gallup,2.1160112647209424,1.7000000000000002,1.246910672380412,3.3629219371013543,0.8691005923405304,0.09008028489960913,,,3.4,-0.06313619521523395,8.16,0.9465025671229306,-0.0012723981325445752,-0.6243520993224467,13.0,52.0,32.5
