,Mean,Median,STD,+1SD,-1SD,L5 Rel to Self,.30,.70,L5 Touches,L5 Touches Rel to Self,L5 Avg FP/G,Mean Rel to Peers,SD Rel to Peers,Touches Rel to Peers,Mean Rel to Peers RK,STD Rel to Peers RK,Avg Rank Rel to Peers
James Conner,0.7106332833236185,0.75,0.2989789014751464,1.009612184798765,0.41165438184847214,0.046592614633148254,,,17.4,0.15228996395948738,13.84,-0.14129233900319976,-0.6092629660726161,14.762870920546717,32.0,12.0,22.0
David Johnson,0.6869236166281287,0.645,0.4245356719846814,1.11145928861281,0.26238794464344734,-0.30391776246914026,0.4129721362229102,0.772875,17.0,0.15287938819961158,9.600000000000001,-0.22456377960568127,-0.36331596608657224,14.362870920546719,41.0,34.0,37.5
Raheem Mostert,0.8990312257917522,0.7933333333333333,0.6006952364010233,1.4997264621927755,0.2983359893907289,0.4294742369207076,,,14.6,1.059777909128698,15.320000000000002,0.5203857974865564,-0.018245634863316703,11.962870920546717,11.0,53.0,32.0
Nick Chubb,0.6935620979521036,0.6546583850931678,0.34930356921132993,1.0428656671634335,0.3442585287407736,0.2283722309546965,0.48962962962962964,0.8233333333333334,14.8,-0.5754813690586562,12.679999999999998,-0.20124856769824404,-0.5106844425507097,12.16287092054672,38.0,22.0,30.0
Jerick McKinnon,0.7002012842866414,0.5614583333333334,0.7924457666468671,1.4926470509335084,-0.09224448236022564,0.7914303904301759,0.3666666666666667,0.7842857142857143,10.4,-0.3377637735107057,9.279999999999998,-0.17793087970179303,0.35736507468513395,7.762870920546718,36.0,59.0,47.5
Melvin Gordon,0.8188233601392569,0.8251207729468599,0.3400127694593156,1.1588361295985725,0.47881059067994136,-0.2462405972986914,0.6302173913043478,0.9328000000000001,19.2,0.1118474072997895,14.960000000000003,0.23868531614642424,-0.5288837345299939,16.562870920546718,17.0,20.0,18.5
Kenyan Drake,0.773489952632155,0.566875,0.48140392180497044,1.2548938744371254,0.2920860308271846,-0.5874740801958604,0.44125000000000003,0.9223333333333332,18.2,0.768101739108816,9.12,0.07946847859999738,-0.2519195405414058,15.562870920546718,25.0,44.0,34.5
Christian McCaffrey,0.8776768579067752,0.8080645161290323,0.33640201427536925,1.2140788721821445,0.5412748436314059,0.14018300255873337,0.6461621621621622,0.9994318181818183,23.8,0.11136662596631099,21.78,0.4453864733806775,-0.535956665775133,21.16287092054672,13.0,19.0,16.0
Austin Ekeler,0.9420027254909769,0.8598214285714285,0.4810653713433459,1.4230680968343228,0.46093735414763093,-0.703145111429976,0.6458333333333334,1.0411371237458193,16.8,0.6546352740688102,10.82,0.6713073068759831,-0.2525827104369242,14.16287092054672,8.0,43.0,25.5
Adrian Peterson,0.5764601263500089,0.5505714285714286,0.34952050642492943,0.9259806327749383,0.22693961992507944,0.2024455634925237,0.34753623188405797,0.6789411764705883,14.8,-0.17052601103411896,9.080000000000002,-0.6125259592337501,-0.5102594948823872,12.16287092054672,58.0,23.0,40.5
Rex Burkhead,0.7988972605320805,0.666923076923077,0.5087775338247621,1.3076747943568425,0.29011972670731845,-0.08342162390465686,0.456031746031746,0.9638461538461539,9.4,0.16104055015103697,8.459999999999999,0.1687022564438702,-0.1982987144582883,6.762870920546718,21.0,48.0,34.5
Latavius Murray,0.616580572664672,0.4727272727272728,0.42456313630529013,1.0411437089699622,0.1920174363593819,0.15094596897812695,0.30600000000000005,0.8587777777777779,11.6,0.0432670750719962,8.120000000000001,-0.4716177210394086,-0.3632621675758829,8.962870920546717,52.0,35.0,43.5
