"player","tournament id","Player_initial_last","player id","DK_Hole_FP","DK_Streak_Bonus_FP","FD_Hole_FP","FD_Streak_Bonus_FP","tournament name","season","final position","DK_Finish_FP","FD_Finish_FP","DK_Total_FP","FD_Total_FP","major","made_cut","course","SD_Hole_FP","SD_Streak_Bonus_FP","SD_Finish_FP","SD_Total_FP","date","Finish","Score","sg_putt","sg_arg","sg_app","sg_ott","sg_t2g","sg_total","place"
"Abraham Ancer",401243002,"A. Ancer",9261,76.5,0,68.8,25.4,"WGC-Workday Championship",2021,18,5,4,81.5,98.2,0,1,"The Concession Golf Club - Bradenton, FL",NA,NA,NA,NA,2021-02-28,"T18","-7",-0.39,1.65,0.36,-0.26,1.76,1.37,NA
"Abraham Ancer",401243005,"A. Ancer",9261,63.5,3,60,15.5,"The Players Championship",2021,22,4,3,70.5,78.5,0,1,"TPC Sawgrass - Ponte Vedra Beach, FL",NA,NA,NA,NA,2021-03-14,"T22","-5",-0.76,0.25,1.04,0.85,2.14,1.38,NA
"Abraham Ancer",401243401,"A. Ancer",9261,89,6,84.1,14.7,"The American Express",2021,5,14,14,109,112.8,0,1,"La Quinta CC - La Quinta, CA",NA,NA,NA,NA,2021-01-24,"T5","-15",-0.03,-0.3,1.18,0.54,1.43,1.39,"5"
"Adam Hadwin",401056252,"A. Hadwin",5548,30.5,0,23.8,10,"Safeway Open",2019,NA,0,0,30.5,33.8,0,0,"Silverado - Napa, CA",28,0,0,28,2018-10-07,"CUT","2",-0.88,-1.23,-0.66,0.29,-1.6,-2.48,"-"
"Adam Hadwin",401056501,"A. Hadwin",5548,73,3,70.8,11,"The CJ Cup @ Nine Bridges",2019,10,7,6,83,87.8,0,1,"Nine Bridges - Seoul, South Korea",74,6,4,84,2018-10-21,NA,NA,NA,NA,NA,NA,NA,NA,"10"
"Adam Hadwin",401056502,"A. Hadwin",5548,55,3,45.9,16.4,"WGC-HSBC Champions",2019,30,3,2,61,64.3,0,1,"Sheshan International - Shanghai, China",54,3,0,57,2018-10-28,NA,NA,NA,NA,NA,NA,NA,NA,"30"
"Adam Hadwin",401056505,"A. Hadwin",5548,90,14,86.8,20.5,"Mayakoba Golf Classic",2019,10,7,6,111,113.3,0,1,"El Camaleon - Playa del Carmen, Mexico",84,16,4,104,2018-11-11,NA,NA,NA,NA,NA,NA,NA,NA,"10"
"Adam Hadwin",401056510,"A. Hadwin",5548,78,3,68.7,30.6,"Sony Open in Hawaii",2019,57,0,0,81,99.3,0,1,"Waialae CC - Honolulu, HI",NA,NA,NA,NA,2019-01-13,"T57","-5",0.5,-1,-0.42,0.93,-0.49,0.01,"57"
"Adam Hadwin",401056511,"A. Hadwin",5548,105.5,14,105.6,26.7,"Desert Classic",2019,2,20,20,139.5,152.3,0,1,"La Quinta CC - La Quinta, CA",95,16,13,124,2019-01-20,"T2","-25",0.92,-0.48,2.95,1,3.46,4.38,"2"
"Adam Hadwin",401056513,"A. Hadwin",5548,70,3,62.5,24.8,"Waste Management Phoenix Open",2019,44,1,0,74,87.3,0,1,"TPC Scottsdale - Scottsdale, AZ",67,6,0,73,2019-02-03,"T44","-4",-0.02,0.37,-0.43,0.6,0.53,0.51,"44"
"Adam Hadwin",401056514,"A. Hadwin",5548,68,3,65.6,27,"AT&T Pebble Beach Pro-Am",2019,18,5,4,76,96.6,0,1,"Spyglass Hill - Pebble Beach, CA",72,3,2,77,2019-02-11,"T18","-8",0.06,0.05,0.07,0.86,0.98,1.04,"18"
"Adam Hadwin",401056515,"A. Hadwin",5548,45.5,0,33.9,20.6,"Genesis Open",2019,75,0,0,45.5,54.5,0,1,"Riviera - Pacific Palisades, CA",43,0,0,43,2019-02-14,"75","10",-0.43,-0.65,-0.88,-0.27,-1.79,-2.22,"75"
"Adam Hadwin",401056521,"A. Hadwin",5548,70,3,61.5,45,"Arnold Palmer Invitational Pres. by Mastercard",2019,33,2,1,75,107.5,0,1,"Bay Hill - Orlando, FL",59,9,0,68,2019-03-10,"T33","-2",-0.12,0.05,-0.36,1.25,0.94,0.82,"33"
"Adam Hadwin",401056522,"A. Hadwin",5548,23,0,13.7,5.6,"The Players Championship",2019,NA,0,0,23,19.3,0,0,"TPC Sawgrass - Ponte Vedra Beach, FL",18,0,0,18,2019-03-17,"CUT","7",-0.3,-0.45,-2.81,-0.36,-3.62,-3.92,"-"
"Adam Hadwin",401056523,"A. Hadwin",5548,29,0,24,16.2,"Valspar Championship",2019,NA,0,0,29,40.2,0,0,"Innisbrook - Palm Harbor, FL",26,0,0,26,2019-03-24,"CUT","2",0.4,-0.17,-0.19,0.08,-0.28,0.12,"-"
"Adam Hadwin",401056528,"A. Hadwin",5548,53,0,47.7,14.6,"RBC Heritage",2019,48,1,0,54,62.3,0,1,"Harbour Town - Hilton Head, SC",58,3,0,61,2019-04-21,"T48","1",-0.07,-0.55,-0.56,1.14,0.03,-0.03,"48"
"Adam Hadwin",401056543,"A. Hadwin",5548,71,0,65.4,19.4,"BMW Championship",2019,43,1,0,72,84.8,0,1,"Medinah - Medinah, IL",66,9,0,75,2019-08-18,"T43","-6",0.84,-0.03,-0.75,-0.62,-1.41,-0.57,"43"
