,schedule_season,team_home,team_away,team_favorite_id,spread_favorite,score_home,score_away,Favourite_Win,Favourtie_Cover,H_or_W_Win
12211,2018,CLE,BAL,BAL,3.0,12.0,9.0,favel,not_covered,homew
12212,2018,DET,GB,GB,1.0,31.0,23.0,favel,not_covered,homew
12213,2018,HOU,DAL,HOU,3.5,19.0,16.0,favew,not_covered,homew
12214,2018,KC,JAX,KC,3.0,30.0,14.0,favew,covered,homew
12215,2018,LAC,OAK,LAC,5.0,26.0,10.0,favew,covered,homew
12216,2018,NYJ,DEN,NYJ,1.0,34.0,16.0,favew,covered,homew
12217,2018,PHI,MIN,PHI,3.5,21.0,23.0,favel,not_covered,awayw
12218,2018,PIT,ATL,PIT,3.5,41.0,17.0,favew,covered,homew
12219,2018,SF,ARI,SF,3.0,18.0,28.0,favel,not_covered,awayw
12220,2018,SEA,LAR,LAR,7.5,31.0,33.0,favew,not_covered,awayw
12221,2018,NO,WAS,NO,5.5,43.0,19.0,favew,covered,homew
12222,2018,NYG,PHI,PHI,1.5,13.0,34.0,favew,covered,awayw
12223,2018,ATL,TB,ATL,3.0,34.0,29.0,favew,covered,homew
12224,2018,CIN,PIT,CIN,1.5,21.0,28.0,favel,not_covered,awayw
12225,2018,CLE,LAC,CLE,1.0,14.0,38.0,favel,not_covered,awayw
12226,2018,DAL,JAX,JAX,3.0,40.0,7.0,favel,not_covered,homew
12227,2018,DEN,LAR,LAR,7.0,20.0,23.0,favew,not_covered,awayw
12228,2018,HOU,BUF,HOU,10.5,20.0,13.0,favew,not_covered,homew
12229,2018,MIA,CHI,CHI,7.5,31.0,28.0,favel,not_covered,homew
12230,2018,MIN,ARI,MIN,10.0,27.0,17.0,favew,PUSH,homew
12231,2018,NE,KC,NE,3.5,43.0,40.0,favew,not_covered,homew
12232,2018,NYJ,IND,NYJ,2.5,42.0,34.0,favew,covered,homew
12233,2018,OAK,SEA,SEA,3.0,3.0,27.0,favew,covered,awayw
12234,2018,TEN,BAL,BAL,2.5,0.0,21.0,favew,covered,awayw
12235,2018,WAS,CAR,CAR,1.0,23.0,17.0,favel,not_covered,homew
12236,2018,GB,SF,GB,9.0,33.0,30.0,favew,not_covered,homew
12237,2018,ARI,DEN,DEN,1.0,10.0,45.0,favew,covered,awayw
12238,2018,BAL,NO,BAL,2.5,23.0,24.0,favel,not_covered,awayw
12239,2018,CHI,NE,NE,1.0,31.0,38.0,favew,covered,awayw
12240,2018,IND,BUF,IND,7.0,37.0,5.0,favew,covered,homew
12241,2018,JAX,HOU,JAX,3.5,7.0,20.0,favel,not_covered,awayw
12242,2018,KC,CIN,KC,6.5,45.0,10.0,favew,covered,homew
12243,2018,LAC,TEN,LAC,6.5,20.0,19.0,favew,not_covered,homew
12244,2018,MIA,DET,DET,3.0,21.0,32.0,favew,covered,awayw
12245,2018,NYJ,MIN,MIN,3.5,17.0,37.0,favew,covered,awayw
12246,2018,PHI,CAR,PHI,5.0,17.0,21.0,favel,not_covered,awayw
12247,2018,SF,LAR,LAR,8.0,10.0,39.0,favew,covered,awayw
12248,2018,TB,CLE,TB,3.5,26.0,23.0,favew,not_covered,homew
12249,2018,WAS,DAL,DAL,1.0,20.0,17.0,favel,not_covered,homew
12250,2018,ATL,NYG,ATL,4.0,23.0,20.0,favew,not_covered,homew
12251,2018,HOU,MIA,HOU,7.5,42.0,23.0,favew,covered,homew
12252,2018,ARI,SF,ARI,2.5,18.0,15.0,favew,covered,homew
12253,2018,CAR,BAL,BAL,2.5,36.0,21.0,favel,not_covered,homew
12254,2018,CHI,NYJ,CHI,8.5,24.0,10.0,favew,covered,homew
12255,2018,CIN,TB,CIN,3.5,37.0,34.0,favew,not_covered,homew
12256,2018,DET,SEA,DET,3.0,14.0,28.0,favel,not_covered,awayw
12257,2018,JAX,PHI,PHI,3.5,18.0,24.0,favew,covered,awayw
12258,2018,KC,DEN,KC,8.5,30.0,23.0,favew,not_covered,homew
12259,2018,LAR,GB,LAR,7.5,29.0,27.0,favew,not_covered,homew
12260,2018,MIN,NO,MIN,2.5,20.0,30.0,favel,not_covered,awayw
12261,2018,NYG,WAS,WAS,1.0,13.0,20.0,favew,covered,awayw
12262,2018,OAK,IND,IND,3.5,28.0,42.0,favew,covered,awayw
12263,2018,PIT,CLE,PIT,8.5,33.0,18.0,favew,covered,homew
12264,2018,BUF,NE,NE,13.5,6.0,25.0,favew,covered,awayw
12265,2018,SF,OAK,OAK,1.5,34.0,3.0,favel,not_covered,homew
12266,2018,BAL,PIT,BAL,1.5,16.0,23.0,favel,not_covered,awayw
12267,2018,BUF,CHI,CHI,10.5,9.0,41.0,favew,covered,awayw
12268,2018,CAR,TB,CAR,6.0,42.0,28.0,favew,covered,homew
12269,2018,CLE,KC,KC,7.5,21.0,37.0,favew,covered,awayw
12270,2018,DEN,HOU,DEN,1.0,17.0,19.0,favel,not_covered,awayw
12271,2018,MIA,NYJ,MIA,3.0,13.0,6.0,favew,covered,homew
12272,2018,MIN,DET,MIN,4.5,24.0,9.0,favew,covered,homew
12273,2018,NE,GB,NE,5.0,31.0,17.0,favew,covered,homew
12274,2018,NO,LAR,LAR,1.5,45.0,35.0,favel,not_covered,homew
12275,2018,SEA,LAC,SEA,1.0,17.0,25.0,favel,not_covered,awayw
12276,2018,WAS,ATL,WAS,1.5,14.0,38.0,favel,not_covered,awayw
12277,2018,DAL,TEN,DAL,4.5,14.0,28.0,favel,not_covered,awayw
12278,2018,PIT,CAR,PIT,3.5,52.0,21.0,favew,covered,homew
12279,2018,CHI,DET,CHI,7.5,34.0,22.0,favew,covered,homew
